time,high,low,open,volumefrom,volumeto,close
2025-09-19,0.9536,0.7725,0.9361,76350370.01,60430607.8,0.7915
2025-09-20,0.7979,0.7544,0.7913,23524844.65,18258426.15,0.7746
2025-09-21,0.784,0.69,0.7746,31183297.66,22832495.19,0.7083
2025-09-22,0.7154,0.5943,0.7078,131538366.17,82359525.29,0.6261
2025-09-23,0.6332,0.5964,0.6261,92258486.72,55687222.58,0.6036
2025-09-24,0.6328,0.5514,0.6036,54296849.88,32422859.81,0.6172
2025-09-25,0.6182,0.5438,0.6172,67418444.27,39158221.29,0.5515
2025-09-26,0.5933,0.5362,0.5514,118457909.39,69556897.06,0.5872
2025-09-27,0.6085,0.5804,0.5866,28288179.85,16770023.66,0.5944
2025-09-28,0.638,0.5695,0.5946,53948218.37,34291375.78,0.6356
2025-09-29,0.6653,0.5851,0.6356,104028034.98,65183966.72,0.6266
2025-09-30,0.7917,0.5733,0.6266,112760971.84,69787765.47,0.6189
2025-10-01,0.6612,0.6073,0.6189,112003262.05,70744732.41,0.6316
2025-10-02,0.6952,0.6284,0.6316,107495858.07,72774695.91,0.677
2025-10-03,0.6987,0.6417,0.677,102488369.9,68451982.26,0.6679
2025-10-04,0.6743,0.6177,0.6679,52306602.48,34464820.37,0.6589
2025-10-05,0.7456,0.6415,0.6587,57127207.86,40124684.52,0.6759
2025-10-06,0.7652,0.6624,0.6759,68725970.88,48847284.47,0.7427
2025-10-07,0.7535,0.6405,0.7427,72579638.56,50990535.64,0.6449
2025-10-08,0.6902,0.6212,0.6454,99994209.24,68166052.44,0.6817
2025-10-09,0.6843,0.614,0.6817,96154178.23,61269442.37,0.6372
2025-10-10,0.6701,0.2131,0.6377,102188671.39,50169981.88,0.3749
2025-10-11,0.3955,0.3216,0.3779,260973233.81,90151924.85,0.3454
2025-10-12,0.4749,0.3298,0.3454,98287225.83,40547846.57,0.4549
2025-10-13,0.4737,0.4064,0.4549,101274069.67,44173649.15,0.4676
2025-10-14,0.4711,0.3861,0.4676,99397570.29,41779228.54,0.4218
2025-10-15,0.4404,0.3912,0.4221,133391980.25,52862694.87,0.3963
2025-10-16,0.416,0.3687,0.3961,84843264.13,33249669.92,0.3784
2025-10-17,0.3847,0.3398,0.3784,192975171.07,70235937.97,0.364
2025-10-18,0.3742,0.3508,0.364,74932669.32,27520289.17,0.3673
2025-10-19,0.3865,0.355,0.3673,94951034.45,35566207.77,0.3746
2025-10-20,0.3918,0.3619,0.3746,115433488.32,42998974.4,0.3725
2025-10-21,0.3996,0.3492,0.3725,167366971.97,61133280.28,0.3653
2025-10-22,0.3667,0.3197,0.3653,151424433.41,49773211.26,0.3287
2025-10-23,0.3639,0.3245,0.3287,96353549.37,34735454.55,0.3605
2025-10-24,0.3846,0.3542,0.3605,46508943.82,17270791.11,0.3825
2025-10-25,0.3947,0.3743,0.3821,37470608.63,14538596.15,0.388
2025-10-26,0.4254,0.3807,0.388,62542137.9,25836157.17,0.4131
2025-10-27,0.43,0.389,0.4131,103923689.93,41829285.2,0.4025
2025-10-28,0.4179,0.3636,0.4025,90569143.27,33266046.32,0.3673
2025-10-29,0.4186,0.3623,0.3673,119547606.9,47866861.8,0.4004
